ear_data,ear
2003-01-01,46448.25131
2003-01-02,46612.8939
2003-01-03,46855.86131
2003-01-04,47229.53555
2003-01-05,47737.9945
2003-01-06,48313.60851
2003-01-07,48818.15999
2003-01-08,49288.144720000004
2003-01-09,49628.96155
2003-01-10,49816.39804
2003-01-11,50226.19218
2003-01-12,50648.00733
2003-01-13,51147.842580000004
2003-01-14,51591.76397
2003-01-15,51912.815180000005
2003-01-16,52332.850490000004
2003-01-17,52999.001990000004
2003-01-18,53808.68284
2003-01-19,54509.87614
2003-01-20,55145.31194
2003-01-21,55889.02945
2003-01-22,56697.51184
2003-01-23,57440.108790000006
2003-01-24,58237.33602
2003-01-25,59141.540010000004
2003-01-26,59926.68924
2003-01-27,60648.868030000005
2003-01-28,61612.588610000006
2003-01-29,62618.09573
2003-01-30,63745.18228
2003-01-31,64844.22674
2003-02-01,65822.4151
2003-02-02,66706.51993
2003-02-03,67342.31727
2003-02-04,67889.67645
2003-02-05,68413.00056
2003-02-06,68913.65843
2003-02-07,69370.67874
2003-02-08,69795.11792
2003-02-09,70245.75517
2003-02-10,70491.75786
2003-02-11,70704.4633
2003-02-12,70888.36784
2003-02-13,70974.82016999999
2003-02-14,71217.39034
2003-02-15,71621.86537
2003-02-16,72107.79274
2003-02-17,72618.79773
2003-02-18,73073.39945
2003-02-19,73526.44095
2003-02-20,73988.03549000001
2003-02-21,74339.49701
2003-02-22,74732.11378
2003-02-23,75069.53999
2003-02-24,75212.99808
2003-02-25,75377.92411
2003-02-26,75457.98641
2003-02-27,75465.81602
2003-02-28,75402.54049
2003-03-01,75410.07929
2003-03-02,75506.48882
2003-03-03,75570.16854
2003-03-04,75693.86844
2003-03-05,75708.27242000001
2003-03-06,75786.83852
2003-03-07,75886.02821
2003-03-08,76080.59186
2003-03-09,76508.42083
2003-03-10,76936.66135000001
2003-03-11,77353.22829
2003-03-12,77761.0579
2003-03-13,78094.61925
2003-03-14,78299.87089
2003-03-15,78406.71288
2003-03-16,78714.62927
2003-03-17,78977.00769
2003-03-18,79215.4149
2003-03-19,79428.75879
2003-03-20,79588.33055
2003-03-21,79774.07202
2003-03-22,80070.3576
2003-03-23,80436.05327
2003-03-24,80712.14073
2003-03-25,80911.05227
2003-03-26,81186.85606
2003-03-27,81447.9084
2003-03-28,81677.28051
2003-03-29,81892.78047
2003-03-30,82201.03048
2003-03-31,82381.09853
2003-04-01,82530.24509
2003-04-02,82622.5274
2003-04-03,82655.69726
2003-04-04,82829.37517
2003-04-05,83043.2651
2003-04-06,83365.96162
2003-04-07,83611.29091
2003-04-08,83877.42127
2003-04-09,84055.02829
2003-04-10,84625.78442
2003-04-11,84924.64461
2003-04-12,85181.6899
2003-04-13,85476.16701
2003-04-14,85632.38432
2003-04-15,85805.81406
2003-04-16,85771.212
2003-04-17,85747.56719
2003-04-18,85672.19974
2003-04-19,85738.70209
2003-04-20,85896.14602
