ena_data,ena
2005-01-01,25803.382009999998
2005-01-02,26114.42615
2005-01-03,27378.14151
2005-01-04,28192.439140000002
2005-01-05,28749.43638
2005-01-06,29086.50132
2005-01-07,29144.705850000002
2005-01-08,29570.49951
2005-01-09,30485.26294
2005-01-10,30506.559370000003
2005-01-11,30914.86302
2005-01-12,31533.85832
2005-01-13,31264.12581
2005-01-14,29017.4357
2005-01-15,28395.46824
2005-01-16,29112.52651
2005-01-17,31476.03755
2005-01-18,33332.22467
2005-01-19,35357.36666
2005-01-20,36638.23083
2005-01-21,37984.06506
2005-01-22,36192.81289
2005-01-23,35188.66714
2005-01-24,34314.90868
2005-01-25,34453.727490000005
2005-01-26,33580.34443
2005-01-27,31655.52004
2005-01-28,31140.87738
2005-01-29,31952.12597
2005-01-30,31492.02088
2005-01-31,33966.55901
2005-02-01,35554.76567
2005-02-02,35068.59027
2005-02-03,32868.48767
2005-02-04,31455.52691
2005-02-05,30770.99292
2005-02-06,28379.148820000002
2005-02-07,26640.03078
2005-02-08,25467.65439
2005-02-09,24930.69957
2005-02-10,24757.78107
2005-02-11,25285.31849
2005-02-12,24949.92818
2005-02-13,23402.31079
2005-02-14,26249.21846
2005-02-15,26933.7665
2005-02-16,26740.33727
2005-02-17,26583.84373
2005-02-18,26540.95818
2005-02-19,25929.805650000002
2005-02-20,25281.10051
2005-02-21,25109.74119
2005-02-22,25148.91762
2005-02-23,24387.10868
2005-02-24,24115.44663
2005-02-25,23775.1692
2005-02-26,24077.79551
2005-02-27,23872.84218
2005-02-28,24530.62509
2005-03-01,25565.78466
2005-03-02,26584.24141
2005-03-03,28589.759100000003
2005-03-04,28663.63733
2005-03-05,28168.63938
2005-03-06,28220.34801
2005-03-07,27840.248600000003
2005-03-08,27734.15073
2005-03-09,27224.82648
2005-03-10,26714.31769
2005-03-11,25770.405870000002
2005-03-12,25866.04993
2005-03-13,24631.84445
2005-03-14,25492.18317
2005-03-15,26170.546870000002
2005-03-16,26779.088890000003
2005-03-17,26967.36985
2005-03-18,28148.058360000003
2005-03-19,28808.20253
2005-03-20,29693.81121
2005-03-21,30528.6696
2005-03-22,32018.23906
2005-03-23,32964.85337
2005-03-24,33322.00213
2005-03-25,31300.86695
2005-03-26,29965.422870000002
2005-03-27,28961.19336
2005-03-28,29483.08539
2005-03-29,30579.37135
2005-03-30,31256.42319
2005-03-31,30936.229910000002
2005-04-01,30165.14999
2005-04-02,29571.342810000002
2005-04-03,28013.549600000002
2005-04-04,28462.13345
