,Date,Price,change,cmo,ear,ena
0,2022-09-09,82203.99,-0.1,36.9792604,71955.16413897042,9453.021976159289
1,2022-09-02,82985.23,-0.3,50.1889962,73752.57661335345,9475.869195635243
2,2022-08-26,82117.59,-1.0,51.648967,75385.03543922557,11857.23277987136
3,2022-08-19,84655.69,-0.8,70.648587,76639.6648318208,14461.811971714842
4,2022-08-12,84029.98,1.61,91.1181776,77767.38126548856,12490.554733171524
5,2022-08-05,83770.98,0.19,98.6680266,79414.99603459731,9679.318389000333
6,2022-07-29,81253.39,0.08,72.0085598,81592.91666649295,10270.077896758912
7,2022-07-22,79163.24,0.54,66.8086638,83305.68602891588,11171.694022087644
8,2022-07-15,77786.43,-0.0,56.9588608,84861.83383477746,11657.354775240903
9,2022-07-08,78665.6,0.29,55.8588828,86129.37987459856,12491.655584884464
10,2022-07-01,78919.17,0.17,45.349093,86994.22076679782,14187.088023765818
11,2022-06-24,78821.18,-0.3,50.0789984,87660.60864840217,16254.009664422456
12,2022-06-17,80519.03,0.12,50.1689966,88126.82669428886,17577.86683261315
13,2022-06-10,78922.18,-2.1,57.888842200000006,88097.33797995289,18542.53206201112
14,2022-06-03,82629.31,-1.0,39.499210000000005,88231.42532955203,17750.066107123417
15,2022-05-27,83319.65,-0.9,42.2791544,88435.17261909237,16581.92279617575
16,2022-05-20,83786.28,0.55,40.9191816,88612.15685310203,18509.949620734427
17,2022-05-13,81141.17,0.66,11.4814005,88562.16192698154,18623.461776939548
18,2022-05-06,80786.69,-0.9,15.450186,88346.33277250083,24727.336242913185
19,2022-04-29,83185.41,-1.8,24.450147,87518.01510437077,21999.664803479776
20,2022-04-22,82828.69,-1.4,20.3599455,87268.62919413656,24586.83601869469
21,2022-04-08,85700.69,1.0,30.4678275,85105.76694037956,27957.32658674334
22,2022-04-01,86516.05,1.74,32.114532,83548.14881962427,29366.745671148867
23,2022-03-25,85075.42,0.35,9.060669,81686.85989421334,34106.744517321386
24,2022-03-18,80868.28,2.53,10.01682,79531.3883887522,34397.12140014496
25,2022-03-11,77048.11,-1.0,9.489594,77159.20032268681,31169.91191980642
26,2022-03-04,77622.07,-0.9,7.7318295,75869.85879741001,34794.60841735771
27,2022-02-25,78061.42,0.22,8.795071499999999,73618.23999842,42381.72430829216
28,2022-02-18,77266.23,-0.4,7.7326815,69583.16404595,48195.35532921
29,2022-02-11,76521.94,-0.7,5.296773000000001,64434.82484985,50579.45734550664
30,2022-02-04,77264.2,-0.9,10.0547625,58247.57639327,43147.65006590912
31,2022-01-28,77238.35,0.6,46.5858015,53642.74918451,36161.46757505159
32,2022-01-21,76093.33,-0.0,46.877568700000005,51798.70834555,42570.2188378104
33,2022-01-14,74361.05,0.71,38.2080975,48163.24205212,53188.030114377376
34,2022-01-07,71742.54,-0.2,56.69746590000001,40662.18572797,41479.8422359003
35,2021-12-17,77031.56,0.82,84.5683086,30085.58405267,26078.540976053428
36,2021-12-10,77999.16,0.44,56.648867,28711.42796591,22999.087191911327
37,2021-12-03,78232.76,1.54,41.6091678,27903.62862741,20878.22687673168
38,2021-11-26,75819.95,-1.6,88.2282354,27364.06535489,21039.96967964521
39,2021-11-19,75739.24,1.07,68.90862179999999,26597.06672156,19034.690599350823
40,2021-11-12,77504.23,-1.3,99.6380072,26368.4933632,17025.04393533076
41,2021-11-05,75628.62,0.79,94.0881182,26335.96206642,17785.537679695528
42,2021-10-29,74371.37,-0.8,161.0067798,25594.09011067,17994.777948489842
43,2021-10-22,74861.94,-2.0,172.59654799999998,24976.60940503,18311.225033492385
44,2021-10-15,79683.66,0.17,198.73602520000003,23913.78493175,15187.217841123129
45,2021-10-08,77992.78,2.08,426.191476,23525.4954676,12149.794841270144
46,2021-10-01,78892.19,0.76,533.3493328000001,23717.70338437,7928.9666280814845
47,2021-09-24,80060.46,-0.2,712.71766,24853.18569389,8260.165642337599
48,2021-09-17,79775.16,-0.2,868.2826339999999,25702.59308808,9040.604805155672
49,2021-09-10,79634.88,-0.2,1211.5247312,26894.82151104,7544.384076866855
50,2021-09-03,79980.68,-0.6,1022.0699637,28933.12916509,7405.832058100901
51,2021-08-27,80588.43,0.52,2442.3296349,30762.25684543,7688.455691183604
52,2021-08-20,80265.88,2.25,3044.3891109999995,32647.99014332,7846.805521740664
53,2021-08-13,78002.98,1.36,2900.94198,34106.6632534,8072.867120029383
54,2021-08-06,78404.69,0.73,2540.1291964,35347.40020164,8387.985919459117
55,2021-07-30,78147.84,-2.2,1238.97522,36521.20132629,9017.79309465182
56,2021-07-23,80336.82,-1.2,1109.4878098,37814.14012088,9509.9372498894
57,2021-07-16,81159.03,-0.0,1030.529389,38926.50951846,9787.34133596008
58,2021-07-02,80485.38,0.92,944.531109,40649.55108783,12919.097169928024
59,2021-06-25,81849.59,-1.3,641.0734070000001,41248.95365515,13024.363703993697
60,2021-06-18,84007.25,0.54,410.1773864,42098.15230152,14318.339458662009
61,2021-06-11,83646.9,-1.0,403.8137322,43046.13802698,14649.737824572843
62,2021-06-04,84740.13,0.35,314.42626140000004,44076.1266415,14564.183239973208
63,2021-05-28,83585.43,-0.2,277.932169,44571.48491743,15072.564683250524
64,2021-05-21,82615.73,0.14,214.1359282,45164.5768202,15230.459339929415
65,2021-05-14,80879.03,1.56,151.6168196,45924.29253078,16198.77581414
66,2021-05-07,80260.32,1.35,131.645298,46674.90222219,16863.57720553
67,2021-04-30,80122.1,-1.3,157.816204,47630.58651958,17720.49328921
68,2021-04-23,81343.06,0.7,159.47368830000002,48115.5944647,18652.87040325
69,2021-04-16,81084.32,1.67,120.3980849,48409.51184501,19410.21062458
70,2021-04-09,80021.07,-0.6,143.5521719,48865.71721469,21085.00697565
71,2021-03-26,78925.56,0.78,129.40507940000003,48179.08651864,26571.65484459
72,2021-03-19,78924.6,1.69,123.9288736,47099.739806640006,31522.44795585
73,2021-03-12,75848.5,0.16,74.6094016,45152.27291656,34438.4559714
74,2021-03-05,75494.25,-0.3,134.581282,42600.66413103,33688.16534986
75,2021-02-26,74396.16,-1.8,175.7364852,39999.63527418,33334.4243391
76,2021-02-19,78962.41,-0.4,166.41667159999997,37740.84966721,33384.76206102
77,2021-02-12,81022.74,-0.6,179.23847740000002,35309.17258017,29615.10597125
78,2021-02-05,82377.04,0.18,147.9219358,33264.12440165,28848.70636517
79,2021-01-29,78922.76,-1.8,177.7264454,32340.52059865,31537.7733634
80,2021-01-22,79325.78,-0.9,223.695526,31156.60089031,34855.76115056
81,2021-01-15,83433.82,-0.3,361.7327652,28924.77415976,27786.23392728
82,2021-01-08,82376.05,3.52,281.4843702,27497.14530634,26858.8358393
83,2020-12-18,80792.72,-0.2,262.8347432,23402.34261848,21252.69830309
84,2020-12-11,80370.24,2.35,212.1959592,23522.13631774,18475.14427875
85,2020-12-04,78208.45,-0.3,744.4151113999999,23675.65415898,11990.20743071
86,2020-11-27,77637.53,0.02,544.2224594,25905.39882792,12595.5263011
87,2020-11-20,75619.5,-1.2,436.2426167,27456.84173121,13618.48555551
88,2020-11-13,76171.73,2.42,556.6900787,28654.71961635,10424.44543859
89,2020-11-06,76189.2,0.96,331.02068749999995,30957.53037997,10932.29924439
90,2020-10-30,69951.35,-1.5,293.76126550000004,32458.26711342,10292.00896747
91,2020-10-23,72466.15,0.06,301.266675,34659.02412622,7738.26062793
92,2020-10-16,70921.52,0.21,263.5814654,37150.65032976,7345.24270126
93,2020-10-09,69629.0,0.2,245.1380125,39938.34709033,6922.81934381
94,2020-10-02,68242.22,-0.7,167.10941760000003,43439.22447433,7454.370370750001
95,2020-09-25,70607.48,-0.2,93.0402471,46783.26735045,7418.799882560001
96,2020-09-18,70666.08,-1.6,79.8932816,49969.978377390005,7536.63747184
97,2020-09-11,70934.89,-1.7,67.64821090000001,52984.64308343,8968.86744292
98,2020-09-04,72487.91,0.08,61.5117412,55592.76699098,10441.86503641
99,2020-08-28,73217.55,1.16,54.13657430000001,57730.97007372,13141.27673203
100,2020-08-21,72236.95,1.26,86.0669865,58796.69105461,15403.21479936
101,2020-08-14,72113.22,0.57,94.1191612,60082.87593712,10389.32234294
102,2020-08-07,75172.68,-1.2,86.12968000000001,62284.25533053,10468.1110777
103,2020-07-31,76523.66,0.5,88.4394966,64130.32344642,11240.98560466
104,2020-07-24,74902.65,-0.3,85.3265811,66004.19659438,11949.76455443
105,2020-07-17,74360.87,2.46,83.1789727,67397.91231685001,14281.42146305
106,2020-07-10,72050.39,0.05,81.8783624,68420.69069943001,17587.17701127
107,2020-07-03,71605.19,1.21,93.3645837,69053.97946786,17768.820612080002
108,2020-06-26,68502.85,-1.5,110.5092774,69886.51070424,14756.24541413
109,2020-06-19,70358.71,1.29,116.4698665,71020.02884369,16278.38757955
110,2020-06-12,68313.62,-1.3,85.39339050000001,71192.01334620001,19188.7508675
111,2020-06-05,67879.29,0.56,77.721417,71211.02961807,17537.07015533
112,2020-05-29,66370.28,-0.3,69.71554950000001,71739.78226624,18863.29837714
113,2020-05-22,62077.59,0.91,60.8066505,71499.15287751,19592.32415757
114,2020-05-15,59058.84,-0.5,32.167651500000005,71431.27833718,20054.4898722
115,2020-05-08,59809.31,3.11,19.593507,71396.5745424,21520.30708341
116,2020-04-24,58512.88,-6.0,0.0,70797.91314291,27260.00002625
117,2020-04-17,61893.48,0.03,0.0379425,69414.93169796,28227.175057120003
118,2020-04-03,55414.6,-1.3,0.0,66893.17039277,32795.79308496
119,2020-03-27,56903.76,-3.4,95.138727,64604.52246447,36729.19638664
120,2020-03-20,54810.36,-2.0,114.4622679,61229.53026454,34927.4623991
121,2020-03-13,66426.49,8.99,94.1168617,59449.97340562,43157.36228526
122,2020-03-06,76268.96,-3.5,55.40873740000001,56007.36794848,51872.81020121
123,2020-02-28,75555.55,0.87,117.7474375,50258.37702634,47158.40765926
124,2020-02-21,79639.35,0.59,144.8837428,45584.64692665,48059.02553664
125,2020-02-14,78712.14,-0.3,147.3081036,40950.19604074,47251.34321756
126,2020-02-07,77712.6,-1.6,186.8633548,35133.068328990004,39749.43469141
127,2020-01-31,78308.77,-1.3,318.04363900000004,32546.48327939,37788.69038876
128,2020-01-24,81022.53,-0.0,348.9959277,29361.54537124,29905.32037373
129,2020-01-17,79920.64,0.47,263.03473920000005,28258.70165686,29359.15371402
130,2020-01-10,78598.22,1.11,361.6127676,27276.80083412,28386.66172306
131,2020-01-03,77360.3,-0.0,287.3042538,26498.85728347,22836.36843832
132,2019-12-27,76224.11,0.19,193.2761344,26752.52035541,26129.26484835
133,2019-12-20,74498.7,0.18,226.7554648,25959.58063485,27687.2783364
134,2019-12-13,72677.11,1.06,215.245695,25153.05113968,24660.38917408
135,2019-12-06,70743.62,0.36,233.2553348,24883.33425368,20878.07426238
136,2019-11-29,69397.56,0.76,314.79370400000005,25346.33936057,15926.14577978
