ANO,DATA_INICIO,DATA_FIM,SUDESTE,SUL,NORDESTE,NORTE
2016,31/12/2016,06/01/2017,"140,86","140,86","140,86","140,86"
2017,07/01/2017,13/01/2017,"101,24","101,24","124,05","101,24"
2017,14/01/2017,20/01/2017,"128,5","128,5","135,09","128,5"
2017,21/01/2017,27/01/2017,"129,9","129,9","138,94","129,9"
2017,28/01/2017,03/02/2017,"100,64","100,64","171,33","100,64"
2017,04/02/2017,10/02/2017,"111,91","111,91","171,33","111,91"
2017,11/02/2017,17/02/2017,"120,97","120,97","159,77","120,97"
2017,18/02/2017,24/02/2017,"132,38","132,38","148,93","33,68"
2017,25/02/2017,03/03/2017,"184,49","184,49","184,49","33,68"
2017,04/03/2017,10/03/2017,"185,06","185,06","185,06","33,68"
2017,11/03/2017,17/03/2017,"238,55","238,55","241,65","33,68"
2017,18/03/2017,24/03/2017,"219,1","219,1","386,46","33,68"
2017,25/03/2017,31/03/2017,"235,67","235,67","365,35","33,68"
2017,01/04/2017,07/04/2017,"426,1","426,1","430,14","33,68"
2017,08/04/2017,14/04/2017,"356,68","356,68","356,68","33,68"
2017,15/04/2017,21/04/2017,"350,66","350,66","350,66","33,68"
2017,22/04/2017,28/04/2017,"331,01","331,01","331,01","33,68"
2017,29/04/2017,05/05/2017,"448,58","448,58","448,58","33,68"
2017,06/05/2017,12/05/2017,"463,69","463,69","463,69","33,68"
2017,13/05/2017,19/05/2017,"477,5","477,5","477,5","145,62"
2017,20/05/2017,26/05/2017,"478,01","478,01","478,01","476,01"
2017,27/05/2017,02/06/2017,"118,77","118,77","157,33","118,77"
2017,03/06/2017,09/06/2017,"103,07","33,68","127,6","103,07"
2017,10/06/2017,16/06/2017,"93,9","33,68","123,25","93,9"
2017,17/06/2017,23/06/2017,"140,18",87,"140,18","140,18"
2017,24/06/2017,30/06/2017,"160,62","91,44","178,85","178,85"
2017,30/12/2017,5/1/2018,"196,1","199,55","182,49","168,14"
2018,6/1/2018,12/1/2018,"176,64","178,67","179,91","165,52"
2018,13/1/2018,19/1/2018,"162,95","165,82","162,06","142,37"
2018,20/1/2018,26/1/2018,"192,89","191,89","190,37","145,6"
2018,27/1/2018,2/2/2018,"175,04","152,06","176,34","78,68"
2018,3/2/2018,9/2/2018,"179,42","178,5","176,42","40,16"
2018,10/2/2018,16/2/2018,"170,45","173,44","167,6","40,16"
2018,17/2/2018,23/2/2018,"210,79","214,37","184,27","40,16"
2018,24/2/2018,2/3/2018,"201,98","201,98","189,22","40,16"
2018,3/3/2018,9/3/2018,"223,21","223,21","223,21","40,16"
2018,10/3/2018,16/3/2018,"236,02","236,02","236,02","40,16"
2018,17/3/2018,23/3/2018,"219,5","219,5","218,38","40,16"
2018,24/3/2018,30/3/2018,"228,54","228,54","228,54","40,16"
2018,31/3/2018,6/4/2018,"40,16","40,16","40,16","40,16"
2018,7/4/2018,13/4/2018,"84,83","84,83","106,83","78,04"
2018,14/4/2018,20/4/2018,"122,73","122,73","122,73","49,29"
2018,21/4/2018,27/4/2018,"135,38","135,38","135,38","40,16"
2018,28/4/2018,4/5/2018,"216,86","216,86","154,51","40,16"
2018,5/5/2018,11/5/2018,"305,96","305,96","154,51","40,16"
2018,12/5/2018,18/5/2018,"326,46","326,46","165,95","114,9"
2018,19/5/2018,25/5/2018,"340,8","340,8","201,88","201,88"
2018,26/5/2018,1/6/2018,"402,29","402,29","380,73","380,73"
2018,2/6/2018,8/6/2018,"440,98","440,98","321,06","321,06"
2018,9/6/2018,15/6/2018,"472,21","472,21","463,52","463,52"
2018,16/6/2018,22/6/2018,"477,77","477,77","477,77","477,77"
2018,23/6/2018,29/6/2018,"505,18","505,18","505,18","505,18"
2018,30/6/2018,6/7/2018,"505,18","505,18","505,18","505,18"
2018,29/12/2018,4/1/2019,"136,43","136,43","53,86","53,86"
2019,5/1/2019,11/1/2019,"138,8","138,8","103,89","103,89"
2019,12/1/2019,18/1/2019,"166,17","166,17","80,44","80,44"
2019,19/1/2019,25/1/2019,"178,76","178,76","42,35","42,35"
2019,26/1/2019,1/2/2019,"337,1","337,1","137,55","83,06"
2019,2/2/2019,8/2/2019,"451,57","451,57","141,05","42,35"
2019,9/2/2019,15/2/2019,"510,81","510,81","178,71","48,14"
2019,16/2/2019,22/2/2019,"472,96","472,96","164,36","42,35"
2019,23/2/2019,1/3/2019,"339,46","339,46","178,71","42,35"
2019,2/3/2019,8/3/2019,"251,81","251,81","164,36","42,35"
2019,9/3/2019,15/3/2019,"250,06","250,06","160,22","42,35"
2019,16/3/2019,22/3/2019,"199,09","199,09","160,22","42,35"
2019,23/3/2019,29/3/2019,"229,74","229,74","160,22","42,35"
2019,30/3/2019,5/4/2019,"210,52","210,52","42,35","42,35"
2019,6/4/2019,12/4/2019,"181,41","181,41","42,35","42,35"
2019,13/4/2019,19/4/2019,"186,94","186,94","42,35","42,35"
2019,20/4/2019,26/4/2019,"172,38","172,38","42,35","42,35"
2019,27/4/2019,3/5/2019,"142,12","142,12","42,35","42,35"
2019,4/5/2019,10/5/2019,"174,86","174,86","42,35","42,35"
2019,11/5/2019,17/5/2019,"98,21","98,21","42,35","42,35"
2019,18/5/2019,24/5/2019,"136,05","136,05","80,44","80,44"
2019,25/5/2019,31/5/2019,"128,33","128,33","42,35","42,35"
2019,1/6/2019,7/6/2019,"42,35","42,35","42,35","42,35"
2019,8/6/2019,14/6/2019,"42,35","42,35","42,35","42,35"
2019,15/6/2019,21/6/2019,"78,42","78,42","78,42","78,42"
2019,22/6/2019,28/6/2019,"124,92","124,92","124,92","124,92"
2019,29/6/2019,5/7/2019,"170,94","170,94","170,94","170,94"
2019,28/12/2019,3/1/2020,"290,33","290,33","290,33","290,33"
2020,4/1/2020,10/1/2020,"368,51","368,51","368,51","368,51"
2020,11/1/2020,17/1/2020,"268,32","268,32","268,32","268,32"
2020,18/1/2020,24/1/2020,"355,42","355,42","355,42","355,42"
2020,25/1/2020,31/1/2020,333,333,"332,28","332,28"
2020,1/2/2020,7/2/2020,"190,96","191,01","190,96","190,96"
2020,8/2/2020,14/2/2020,"150,67","174,24","150,67","149,89"
2020,15/2/2020,21/2/2020,"146,13","171,14","144,93","132,63"
2020,22/2/2020,28/2/2020,"143,85","180,77","125,8","39,68"
2020,29/2/2020,6/3/2020,"58,6","66,78","58,6","57,34"
2020,7/3/2020,13/3/2020,"86,62","158,2","84,67","39,68"
2020,14/3/2020,20/3/2020,"100,86","224,12","98,97","39,68"
2020,21/3/2020,27/3/2020,"101,98","201,83","39,68","39,68"
2020,28/3/2020,3/4/2020,"39,68","39,68","39,68","39,68"
2020,4/4/2020,10/4/2020,"39,68","39,68","39,68","39,68"
2020,11/4/2020,17/4/2020,"39,68","39,68","39,68","39,68"
2020,18/4/2020,24/4/2020,"39,68","39,68","39,68","39,68"
2020,25/4/2020,1/5/2020,"39,68","39,68","39,68","39,68"
2020,2/5/2020,8/5/2020,"53,85","53,85","39,68","39,68"
2020,9/5/2020,15/5/2020,"61,33","61,33","39,68","39,68"
2020,16/5/2020,22/5/2020,"78,88","78,88","39,68","39,68"
