nom_reservatorio;cod_resplanejamento;tip_reservatorio;nom_bacia;nom_ree;id_subsistema;nom_subsistema;ena_data;ena_bruta_res_mwmed;ena_bruta_res_percentualmlt;ena_armazenavel_res_mwmed;ena_armazenavel_res_percentualmlt
A. VERMELHA;18;Reservatório com Usina;GRANDE;;SE;SUDESTE;2005-01-01;1723.0;100.98;1723.0;100.98
B. BONITA;37;Reservatório com Usina;TIETE;;SE;SUDESTE;2005-01-01;61.0;51.27;61.0;51.27
BARIRI;38;Fio dagua;TIETE;;SE;SUDESTE;2005-01-01;80.0;54.97;80.0;54.97
BOA ESPERANÇA;190;Reservatório com Usina;PARNAIBA;;NE;NORDESTE;2005-01-01;207.0;86.5;207.0;86.5
C. DOURADA;32;Fio dagua;PARANAIBA;;SE;SUDESTE;2005-01-01;578.0;72.97;578.0;72.97
CACONDE;14;Reservatório com Usina;GRANDE;;SE;SUDESTE;2005-01-01;35.0;44.66;35.0;44.66
CAMARGOS;1;Reservatório com Usina;GRANDE;;SE;SUDESTE;2005-01-01;40.0;82.04;40.0;82.04
CANA BRAVA;252;Fio dagua;TOCANTINS;;SE;SUDESTE;2005-01-01;327.0;52.41;327.0;52.41
CANDONGA;139;Fio dagua;DOCE;;SE;SUDESTE;2005-01-01;93.0;74.88;93.0;74.88
CANOAS I;52;Fio dagua;PARANAPANEMA;;SE;SUDESTE;2005-01-01;54.0;50.97;54.0;50.97
CANOAS II;51;Fio dagua;PARANAPANEMA;;SE;SUDESTE;2005-01-01;44.0;50.31;44.0;50.31
CAPIVARA;61;Reservatório com Usina;PARANAPANEMA;;SE;SUDESTE;2005-01-01;304.0;51.05;304.0;51.05
CHAVANTES;49;Reservatório com Usina;PARANAPANEMA;;SE;SUDESTE;2005-01-01;174.0;51.92;174.0;51.92
CORUMBA;30;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;2005-01-01;316.0;70.12;316.0;70.12
CURUA-UNA;272;Reservatório com Usina;AMAZONAS;;N;NORTE;2005-01-01;16.0;68.34;16.0;68.34
D. FRANCISCA;114;Fio dagua;JACUI;;S;SUL;2005-01-01;27.0;37.25;27.0;37.25
E. DA CUNHA;15;Fio dagua;GRANDE;;SE;SUDESTE;2005-01-01;60.0;51.17;60.0;51.17
EMBORCAÇÃO;24;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;2005-01-01;749.0;77.14;749.0;77.14
FONTES;132;Fio dagua;PARAIBA DO SUL;;SE;SUDESTE;2005-01-01;100.0;87.35;100.0;87.35
FUNIL;123;Reservatório com Usina;PARAIBA DO SUL;;SE;SUDESTE;2005-01-01;114.0;56.88;114.0;56.88
FUNIL-MG;4;Fio dagua;GRANDE;;SE;SUDESTE;2005-01-01;157.0;78.24;86.0;42.86
FURNAS;6;Reservatório com Usina;GRANDE;;SE;SUDESTE;2005-01-01;858.0;63.93;858.0;63.93
G. B. MUNHOZ;74;Reservatório com Usina;IGUACU;;S;SUL;2005-01-01;383.0;53.89;383.0;53.89
G. P. SOUZA;115;Reservatório com Usina;CAPIVARI;;S;SUL;2005-01-01;130.0;78.3;130.0;78.3
GUAPORE;196;Fio dagua;AMAZONAS;;SE;SUDESTE;2005-01-01;47.0;94.0;47.0;94.0
GUILM. AMORIM;192;Fio dagua;DOCE;;SE;SUDESTE;2005-01-01;100.0;65.4;100.0;65.4
HENRY BORDEN;119;Fio dagua;TIETE;;SE;SUDESTE;2005-01-01;142.0;38.71;142.0;38.71
I. SOLTEIRA;34;Reservatório com Usina;PARANA;;SE;SUDESTE;2005-01-01;3203.0;93.21;3203.0;93.21
IBITINGA;39;Fio dagua;TIETE;;SE;SUDESTE;2005-01-01;103.0;59.73;103.0;59.73
IGARAPAVA;10;Fio dagua;GRANDE;;SE;SUDESTE;2005-01-01;247.0;79.2;247.0;79.2
ILHA POMBOS;130;Fio dagua;PARAIBA DO SUL;;SE;SUDESTE;2005-01-01;173.0;76.63;173.0;76.63
ITÁ;92;Fio dagua;URUGUAI;;S;SUL;2005-01-01;295.0;46.08;295.0;46.08
ITAIPU;66;Fio dagua;PARANA;;SE;SUDESTE;2005-01-01;16869.0;110.34;14109.0;92.29
ITAPARICA;172;Reservatório com Usina;SAO FRANCISCO;;NE;NORDESTE;2005-01-01;1548.0;75.03;1548.0;75.03
ITAPEBI;154;Fio dagua;JEQUITINHONHA;;NE;NORDESTE;2005-01-01;274.0;47.61;274.0;47.61
ITAUBA;113;Fio dagua;JACUI;;S;SUL;2005-01-01;54.0;37.66;54.0;37.66
ITIQUIRA I;304;Fio dagua;PARAGUAI;;SE;SUDESTE;2005-01-01;79.0;102.58;59.0;76.61
ITIQUIRA II;305;Fio dagua;PARAGUAI;;SE;SUDESTE;2005-01-01;129.0;102.89;129.0;102.89
ITUMBIARA;31;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;2005-01-01;1339.0;73.4;1339.0;73.4
ITUTINGA;2;Fio dagua;GRANDE;;SE;SUDESTE;2005-01-01;50.0;82.61;50.0;82.61
JACUI;112;Fio dagua;JACUI;;S;SUL;2005-01-01;42.0;36.14;42.0;36.14
JAGUARA;9;Fio dagua;GRANDE;;SE;SUDESTE;2005-01-01;602.0;74.61;505.0;62.59
JAGUARI;120;Reservatório com Usina;PARAIBA DO SUL;;SE;SUDESTE;2005-01-01;8.0;35.47;8.0;35.47
JAURU;195;Fio dagua;PARAGUAI;;SE;SUDESTE;2005-01-01;69.0;77.33;69.0;77.33
JUPIA;45;Fio dagua;PARANA;;SE;SUDESTE;2005-01-01;1907.0;95.74;1889.0;94.83
JURUMIRIM;47;Reservatório com Usina;PARANAPANEMA;;SE;SUDESTE;2005-01-01;54.0;55.6;54.0;55.6
L. C. BARRETO;8;Fio dagua;GRANDE;;SE;SUDESTE;2005-01-01;807.0;72.44;807.0;72.44
LAJEADO;261;Fio dagua;TOCANTINS;;SE;SUDESTE;2005-01-01;597.0;42.17;597.0;42.17
LIMOEIRO;16;Fio dagua;GRANDE;;SE;SUDESTE;2005-01-01;17.0;51.63;17.0;51.63
M. MORAES;7;Reservatório com Usina;GRANDE;;SE;SUDESTE;2005-01-01;451.0;69.76;400.0;61.87
MACHADINHO;91;Reservatório com Usina;URUGUAI;;S;SUL;2005-01-01;202.0;42.96;202.0;42.96
MANSO;278;Reservatório com Usina;PARAGUAI;;SE;SUDESTE;2005-01-01;114.0;72.89;114.0;72.89
MARIMBONDO;17;Reservatório com Usina;GRANDE;;SE;SUDESTE;2005-01-01;1499.0;93.47;1499.0;93.47
MASCARENHAS;144;Fio dagua;DOCE;;SE;SUDESTE;2005-01-01;339.0;102.37;72.0;21.74
MIRANDA;26;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;2005-01-01;258.0;70.59;258.0;70.59
MONTE CLARO;98;Fio dagua;JACUI;;S;SUL;2005-01-01;14.0;23.79;4.0;6.8
