ANO;MES;SEMANA;DATA_INICIO;DATA_FIM;SUDESTE;SUL;NORDESTE;NORTE
2010;6;1;26/6/2010;2/7/2010;100,56;100,56;110,68;110,68
2010;7;2;3/7/2010;9/7/2010;102,78;102,78;102,95;102,95
2010;7;3;10/7/2010;16/7/2010;96,21;96,21;98,66;98,66
2010;7;4;17/7/2010;23/7/2010;80,9;80,9;94,51;94,51
2010;7;5;24/7/2010;30/7/2010;73,15;73,14;89,21;89,21
2010;7;6;31/7/2010;6/8/2010;105,27;105,27;105,68;105,68
2010;8;7;7/8/2010;13/8/2010;125,3;125,3;125,75;125,75
2010;8;8;14/8/2010;20/8/2010;117,23;117,23;118,4;118,4
2010;8;9;21/8/2010;27/8/2010;123,44;123,44;123,98;123,91
2010;8;10;28/8/2010;3/9/2010;105,98;105,97;154,88;154,88
2010;9;11;4/9/2010;10/9/2010;126,25;125,41;174,53;174,53
2010;9;12;11/9/2010;17/9/2010;117,26;117,26;171,77;171,77
2010;9;13;18/9/2010;24/9/2010;132,62;132,09;187,76;187,76
2010;9;14;25/9/2010;1/10/2010;168,6;168,6;246,32;246,32
2010;10;15;2/10/2010;8/10/2010;140,59;140,59;221,61;221,61
2010;10;16;9/10/2010;15/10/2010;116,22;116,22;180,45;180,45
2010;10;17;16/10/2010;22/10/2010;143,33;143,33;257,54;257,54
2010;10;18;23/10/2010;29/10/2010;143,66;143,66;292,61;292,61
2010;10;19;30/10/2010;5/11/2010;148,25;148,25;148,25;148,25
2010;11;20;6/11/2010;12/11/2010;120,25;120,25;118,11;120,25
2010;11;21;13/11/2010;19/11/2010;126,57;126,57;125,73;126,57
2010;11;22;20/11/2010;26/11/2010;101,57;101,57;98,71;101,57
2010;11;23;27/11/2010;3/12/2010;80,25;80,25;78,01;80,25
2010;12;24;4/12/2010;10/12/2010;89,92;89,92;82,41;89,92
2010;12;25;11/12/2010;17/12/2010;75,41;75,41;72,65;75,41
2010;12;26;18/12/2010;24/12/2010;63,95;63,95;62,52;63,95
2010;12;27;25/12/2010;31/12/2010;53,36;53,36;53,15;53,36
2011;1;28;1/1/2011;7/1/2011;69;69;69;69
