ANO;MES;SEMANA;DATA_INICIO;DATA_FIM;SUDESTE;SUL;NORDESTE;NORTE
2005;1;1;1/1/2005;7/1/2005;18,33;18,33;18,33;18,33
2005;1;2;8/1/2005;14/1/2005;18,33;18,33;18,33;18,33
2005;1;3;15/1/2005;21/1/2005;18,33;18,33;18,33;18,33
2005;1;4;22/1/2005;28/1/2005;18,33;18,33;18,33;18,33
2005;1;5;29/1/2005;4/2/2005;18,33;18,33;18,33;18,33
2005;2;6;5/2/2005;11/2/2005;18,33;18,33;18,33;18,33
2005;2;7;12/2/2005;18/2/2005;18,33;18,33;18,33;18,33
2005;2;8;19/2/2005;25/2/2005;18,33;18,33;18,33;18,33
2005;2;9;26/2/2005;4/3/2005;18,33;24,6;18,33;18,33
2005;3;10;5/3/2005;11/3/2005;18,33;26,74;18,33;18,33
2005;3;11;12/3/2005;18/3/2005;18,33;25,1;18,33;18,33
2005;3;12;19/3/2005;25/3/2005;18,33;25,08;18,33;18,33
2005;3;13;26/3/2005;1/4/2005;18,33;32,28;18,33;18,33
2005;4;14;2/4/2005;8/4/2005;18,33;133,75;18,33;18,33
2005;4;15;9/4/2005;15/4/2005;19,83;37,81;18,33;18,33
2005;4;16;16/4/2005;22/4/2005;25,3;74;18,33;18,33
2005;4;17;23/4/2005;29/4/2005;33,69;98,93;18,33;20,09
2005;4;18;30/4/2005;6/5/2005;48,08;72,54;18,33;21,6
2005;5;19;7/5/2005;13/5/2005;42,25;98,08;18,33;20,89
2005;5;20;14/5/2005;20/5/2005;49,39;131,08;18,33;21,66
2005;5;21;21/5/2005;27/5/2005;45,6;47,91;18,33;18,33
2005;5;22;28/5/2005;3/6/2005;28,53;22,87;18,33;18,33
2005;6;23;4/6/2005;10/6/2005;18,33;18,33;18,33;18,33
2005;6;24;11/6/2005;17/6/2005;31,52;31,52;18,33;31,52
2005;6;25;18/6/2005;24/6/2005;30,3;27,15;18,33;30,3
2005;6;26;25/6/2005;1/7/2005;24,44;19,04;18,33;24,44
