,Date,Price,change
0,2022-09-09,82203.99,-0.1
1,2022-09-08,82291.74,0.09
2,2022-09-06,82216.49,-1.3
3,2022-09-05,83314.13,0.4
4,2022-09-02,82985.23,-0.3
5,2022-09-01,83294.72,1.27
6,2022-08-31,82251.05,0.55
7,2022-08-30,81798.11,-1.0
8,2022-08-29,82628.75,0.62
9,2022-08-26,82117.59,-1.0
10,2022-08-25,83004.51,-1.0
11,2022-08-24,83859.49,-0.0
12,2022-08-23,83880.07,0.02
13,2022-08-22,83864.82,-0.9
14,2022-08-19,84655.69,-0.8
15,2022-08-18,85365.08,-0.8
16,2022-08-17,86100.54,1.56
17,2022-08-16,84780.95,-0.1
18,2022-08-15,84886.43,1.02
19,2022-08-12,84029.98,1.61
20,2022-08-11,82702.06,-1.6
21,2022-08-10,84074.63,0.45
22,2022-08-09,83700.07,-0.6
23,2022-08-08,84205.53,0.52
24,2022-08-05,83770.98,0.19
25,2022-08-04,83610.33,2.57
26,2022-08-03,81514.25,-0.0
27,2022-08-02,81567.42,0.17
28,2022-08-01,81427.93,0.21
29,2022-07-29,81253.39,0.08
30,2022-07-28,81185.78,0.54
31,2022-07-27,80749.13,1.4
32,2022-07-26,79637.59,-0.4
33,2022-07-25,80031.12,1.1
34,2022-07-22,79163.24,0.54
35,2022-07-21,78738.58,0.19
36,2022-07-20,78590.17,0.92
37,2022-07-19,77876.36,0.67
38,2022-07-18,77354.97,-0.5
39,2022-07-15,77786.43,-0.0
40,2022-07-14,77816.94,0.09
41,2022-07-13,77744.69,-0.3
42,2022-07-12,78015.96,0.26
43,2022-07-11,77815.79,-1.0
44,2022-07-08,78665.6,0.29
45,2022-07-07,78435.18,1.66
46,2022-07-06,77153.85,0.28
47,2022-07-05,76939.04,-0.9
48,2022-07-04,77640.33,-1.6
49,2022-07-01,78919.17,0.17
50,2022-06-30,78786.86,-1.1
51,2022-06-29,79718.84,-0.9
52,2022-06-28,80455.54,1.01
53,2022-06-27,79650.29,1.05
54,2022-06-24,78821.18,-0.3
55,2022-06-23,79117.4,-1.1
56,2022-06-22,79995.8,0.21
57,2022-06-21,79830.79,-0.6
58,2022-06-20,80349.5,-0.2
59,2022-06-17,80519.03,0.12
60,2022-06-15,80424.91,2.54
61,2022-06-14,78434.16,0.3
62,2022-06-13,78199.06,-0.9
63,2022-06-10,78922.18,-2.1
64,2022-06-09,80642.26,-0.8
65,2022-06-08,81290.25,-0.2
66,2022-06-07,81525.91,-0.2
67,2022-06-06,81729.87,-1.0
68,2022-06-03,82629.31,-1.0
69,2022-06-02,83538.2,0.95
70,2022-06-01,82754.14,-0.1
71,2022-05-31,82865.39,0.68
72,2022-05-30,82307.8,-1.2
73,2022-05-27,83319.65,-0.9
74,2022-05-26,84114.2,-1.3
75,2022-05-25,85235.56,-0.0
76,2022-05-24,85265.44,1.1
77,2022-05-23,84333.69,0.65
78,2022-05-20,83786.28,0.55
79,2022-05-19,83327.36,1.2
80,2022-05-18,82339.83,-1.1
81,2022-05-17,83301.36,1.87
82,2022-05-16,81772.46,0.78
83,2022-05-13,81141.17,0.66
84,2022-05-12,80612.71,0.6
85,2022-05-11,80132.68,-1.0
86,2022-05-10,80961.49,0.18
87,2022-05-09,80812.42,0.03
88,2022-05-06,80786.69,-0.9
89,2022-05-05,81527.22,-2.1
90,2022-05-04,83315.69,1.61
91,2022-05-03,81998.8,-0.0
92,2022-05-02,82029.0,-1.3
93,2022-04-29,83185.41,-1.8
94,2022-04-28,84792.18,0.35
95,2022-04-27,84492.69,0.8
96,2022-04-26,83818.67,-0.1
97,2022-04-25,83966.37,1.37
98,2022-04-22,82828.69,-1.4
99,2022-04-20,84058.62,0.17
100,2022-04-19,83914.68,-1.6
101,2022-04-18,85299.02,-0.6
102,2022-04-14,85814.15,0.34
103,2022-04-13,85522.07,0.26
104,2022-04-12,85300.11,0.24
105,2022-04-11,85099.28,-0.7
106,2022-04-08,85700.69,1.0
107,2022-04-07,84852.82,0.03
108,2022-04-06,84829.75,-0.0
109,2022-04-05,84878.28,-1.3
110,2022-04-04,86051.98,-0.5
111,2022-04-01,86516.05,1.74
112,2022-03-31,85040.32,0.23
113,2022-03-30,84843.13,-1.0
114,2022-03-29,85739.17,1.08
